ID,Name,Group,Calories,Fat,Protein,Carbohydrate,Sugars,Fiber,Saturated Fats,Calcium,"Iron, Fe","Potassium, K",Magnesium,Net-Carbs,PRAL score,Sucrose,Glucose (Dextrose),Fructose,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
172097,Chili Con Carne With Beans Canned Entree,Prepared Meals,107,3.47,5.8,13.1,1.87,3.3,1.253,33,1.34,264,28,9.8,-0.675,1.03,0.34,0.49,1412,400
172099,Spaghetti With Meatballs In Tomato Sauce Canned,Prepared Meals,100,4.11,4.37,11.45,2.91,2.7,1.459,29,1.03,217,13,8.75,-1.047,0.34,1.25,1.32,1633,563
172102,Burrito Beef And Bean Microwaved,Prepared Meals,298,11.94,8.73,38.95,1.36,6.9,4.072,39,3.12,271,36,32.05,0.695,0.47,0,0.14,5035,1763
172103,Egg Rolls Pork Refrigerated Heated,Prepared Meals,227,8.18,9.94,28.49,1.67,0,1.65,34,1.55,212,20,28.49,2.796,1.6,1.18,0.7,2350,2464
172107,Hot Pockets Meatballs & Mozzarella Stuffed Sandwich Frozen,Prepared Meals,252,10.23,9.32,30.68,7.73,2.2,3.93,181,2.08,204,22,28.48,4.213,0,0.97,1,2787,2611
172109,Lean Pockets Meatballs & Mozzarella,Prepared Meals,240,7.7,10.49,32.28,8.81,2,3.087,196,2.06,221,23,30.28,3.984,0.28,1.3,1.24,1971,1479
172223,Queso Fresco,Dairy and Egg Products,299,23.82,18.09,2.98,2.32,0,12.94,566,0.2,129,24,2.98,12.398,0,0,0,5966,1106
172231,Ground Turmeric,Spices and Herbs,312,3.25,9.68,67.14,3.21,22.7,1.838,168,55,2080,208,44.44,-35.736,2.38,0.38,0.45,449,756
172232,Basil,Spices and Herbs,23,0.64,3.15,2.65,0.3,1.6,0.041,177,3.17,295,64,1.05,-6.593,0,0.02,0.02,88,389
172234,Yellow Mustard,Spices and Herbs,60,3.34,3.74,5.83,0.92,4,0.214,63,1.61,152,48,1.83,0.54,0.21,0.47,0.23,2182,774
172252,Finger Snacks Gerber Graduate Puffs Apple And Cinnamon,Baby Foods,344,2.3,6.19,85.79,17.84,3.8,0.143,535,24.74,196,60,81.99,6.941,14.9,1.13,1.81,306,527
172255,Babyfood Tropical Fruit Medley,Baby Foods,46,0.14,0.31,12.22,9.78,1.3,0,0,0,141,5,10.92,-2.548,1.17,3.03,5.57,0,0
172261,Babyfood Dinner Beef With Vegetables,Baby Foods,96,6.93,2.03,6.36,2.16,1.8,2.84,19,0.33,127,15,4.56,-1.439,1.35,0.32,0.49,3120,900
